Title,Type,Body,Answer,Level
Streaming Buffer Analysis,python,Design a function that processes a stream of data points and maintains a sliding window of the last N values. Calculate running statistics (mean median mode) for this window. The window should automatically remove old values when new ones arrive.,Implementation of a sliding window buffer using deque: 1) Initialize fixed-size deque 2) Add new values and auto-pop old ones 3) Calculate statistics using numpy 4) Handle edge cases for empty/partial windows,2
User Growth Analysis,product metrics,You notice that user growth has increased 50% month over month for the past quarter but revenue has only grown 20%. What metrics would you investigate to understand this discrepancy?,Analyze: 1) New user conversion rates 2) Revenue per user by cohort 3) Free vs paid user ratio 4) Pricing tier distribution 5) User retention by segment,1
Data Pipeline Performance,ml system design,Design a real-time recommendation system that needs to process 1M events per minute. Describe the architecture components and how you would handle system failures.,Architecture: 1) Kafka for event ingestion 2) Redis for real-time features 3) Multiple processing workers 4) Circuit breakers for failures 5) Monitoring and alerts 6) Fallback recommendations,3
Churn Prediction,machine learning,Given historical user activity data build a model to predict user churn in the next 30 days. What features would you use and how would you handle class imbalance?,Feature engineering: usage patterns engagement metrics customer support interactions. Handle imbalance with: SMOTE undersampling ensemble methods cost-sensitive learning cross-validation.,2
A/B Test Edge Cases,a/b testing,You are running an A/B test on a new feature but notice that the results are significantly different between weekday and weekend users. How would you modify your analysis?,Segment analysis by day type stratified sampling separate weekday/weekend cohorts power analysis adjustments confidence interval modifications sequential testing approach,2
Streaming Buffer Analysis,python,Design a function that processes a stream of data points and maintains a sliding window of the last N values. Calculate running statistics (mean median mode) for this window. The window should automatically remove old values when new ones arrive.,Implementation of a sliding window buffer using deque: 1) Initialize fixed-size deque 2) Add new values and auto-pop old ones 3) Calculate statistics using numpy 4) Handle edge cases for empty/partial windows,2
User Growth Analysis,product metrics,You notice that user growth has increased 50% month over month for the past quarter but revenue has only grown 20%. What metrics would you investigate to understand this discrepancy?,Analyze: 1) New user conversion rates 2) Revenue per user by cohort 3) Free vs paid user ratio 4) Pricing tier distribution 5) User retention by segment,1
Data Pipeline Performance,ml system design,Design a real-time recommendation system that needs to process 1M events per minute. Describe the architecture components and how you would handle system failures.,Architecture: 1) Kafka for event ingestion 2) Redis for real-time features 3) Multiple processing workers 4) Circuit breakers for failures 5) Monitoring and alerts 6) Fallback recommendations,3
Churn Prediction,machine learning,Given historical user activity data build a model to predict user churn in the next 30 days. What features would you use and how would you handle class imbalance?,Feature engineering: usage patterns engagement metrics customer support interactions. Handle imbalance with: SMOTE undersampling ensemble methods cost-sensitive learning cross-validation.,2
A/B Test Edge Cases,a/b testing,You are running an A/B test on a new feature but notice that the results are significantly different between weekday and weekend users. How would you modify your analysis?,Segment analysis by day type stratified sampling separate weekday/weekend cohorts power analysis adjustments confidence interval modifications sequential testing approach,2
Database Optimization,sql,You have a query that's taking 30 seconds to execute on a table with 10M rows. How would you approach optimizing it?,1) Analyze query execution plan 2) Index optimization 3) Query rewriting 4) Table partitioning 5) Materialized views 6) Caching strategy 7) Database configuration tuning,3
Distributed Cache Design,system design,Design a distributed caching system that can handle 100k requests per second with 99.9% availability. Address consistency and partition tolerance.,1) Cache sharding strategy 2) Replication protocol 3) Consistency model 4) Failure detection 5) Load balancing 6) Hot key handling 7) Cache invalidation policy,3
Memory Leak Detection,debugging,A production service is showing increasing memory usage over time. How would you identify and fix potential memory leaks?,1) Memory profiling tools 2) Heap analysis 3) Object reference tracking 4) GC log analysis 5) Resource cleanup audit 6) Memory monitoring implementation,2
API Rate Limiting,system design,Design a rate limiting system for an API that handles varying limits for different user tiers and resources.,1) Token bucket algorithm 2) Redis counter implementation 3) Distributed coordination 4) Tier management 5) Grace period handling 6) Failure recovery,2
Data Schema Evolution,data engineering,How would you handle schema changes in a data pipeline that processes both historical and new data formats?,1) Schema versioning 2) Backward compatibility 3) Migration strategy 4) Data validation 5) Version detection 6) Default value handling 7) Schema registry,3
Authentication System,security,Design a secure authentication system that supports multiple providers and 2FA. Address security concerns and scalability.,1) OAuth implementation 2) Token management 3) 2FA integration 4) Session handling 5) Provider federation 6) Security measures 7) Rate limiting,3
Feature Flag System,product development,Design a feature flag system that can handle complex targeting rules and real-time updates across multiple services.,1) Flag storage design 2) Evaluation rules 3) Distribution mechanism 4) Update propagation 5) Monitoring setup 6) Fallback handling,2
Log Aggregation,infrastructure,Design a logging system that can handle 1TB of logs per day with search capabilities and retention policies.,1) Log collection 2) Storage strategy 3) Index design 4) Retention management 5) Search optimization 6) Cost analysis,3
Recommendation Engine,machine learning,Design a movie recommendation system that can handle 100M users and 500k movies. Address cold start and scalability.,1) Collaborative filtering 2) Content-based filtering 3) Hybrid approach 4) Feature engineering 5) Model serving 6) Cache strategy,3
Load Testing,qa,Design a load testing strategy for a web application that needs to handle 10k concurrent users.,1) Test scenario design 2) Tool selection 3) Infrastructure setup 4) Metrics collection 5) Performance baseline 6) Bottleneck analysis,2
Data Privacy,security,How would you implement data anonymization for a healthcare dataset while maintaining analytical value?,1) Anonymization techniques 2) k-anonymity 3) Data masking 4) Privacy preservation 5) Utility metrics 6) Compliance validation,3
Message Queue Design,system design,Design a message queue system that guarantees exactly-once delivery and supports multiple consumers.,1) Message persistence 2) Consumer groups 3) Deduplication 4) Order guarantees 5) Dead letter queues 6) Recovery mechanism,3
Time Series Analysis,data science,Design a system to detect anomalies in server metrics with minimal false positives.,1) Feature extraction 2) Seasonality handling 3) Trend analysis 4) Statistical methods 5) Threshold optimization 6) Alert correlation,2
Search Engine,system design,"Design a search engine for a specific domain (e.g., products) that handles typos and synonyms.",1) Indexing strategy 2) Query processing 3) Ranking algorithm 4) Fuzzy matching 5) Synonym expansion 6) Caching layer,3
Data Warehouse Design,data engineering,Design a data warehouse schema for an e-commerce platform focusing on performance and maintainability.,1) Dimension modeling 2) Fact table design 3) Slowly changing dimensions 4) Partition strategy 5) Index design 6) ETL process,3
Pandas Performance,python,You have a DataFrame with 10M rows that's processing slowly. How would you optimize the code and what common pandas anti-patterns would you look for?,1) Use vectorization instead of loops 2) Avoid df.apply when possible 3) Use proper dtypes (category/int8) 4) Bulk operations over iterative 5) Use inplace=True carefully 6) Leverage query() for filtering 7) Use proper indexing,3
SQL Window Functions,sql,"Write a query to find customers who have made purchases in 3 consecutive months, showing their total spend in each month.",1) Use ROW_NUMBER() for consecutive months 2) LEAD/LAG for comparison 3) DATE_TRUNC for month grouping 4) Self-join for validation 5) Proper WHERE conditions for consecutive check,2
Statistical Power,stats,"In an A/B test, you need to detect a 5% improvement in conversion rate (baseline 10%). How would you calculate required sample size and duration?",1) Effect size calculation 2) Power analysis formula 3) Type I/II error consideration 4) Sample size calculation 5) Duration estimation based on traffic 6) Multiple testing correction,3
R Data Cleaning,r,"Given a messy dataset with inconsistent dates, missing values, and outliers, outline your cleaning approach in R.",1) lubridate for dates 2) tidyr for missing values 3) dplyr for transformations 4) ggplot2 for outlier visualization 5) stringr for text cleaning 6) Statistical methods for imputation,2
Binary Tree Algorithms,algorithms,Implement a function to find the lowest common ancestor of two nodes in a binary tree. Analyze time and space complexity.,1) Recursive traversal approach 2) Path recording method 3) O(h) space complexity 4) O(n) time complexity 5) Edge case handling 6) Optimization techniques,3
Feature Selection,ML,You have 1000 features for a classification task. How would you select the most important features and validate your selection?,1) Correlation analysis 2) LASSO/Ridge regression 3) Random Forest importance 4) Cross-validation strategy 5) Information gain 6) Stability selection 7) Domain knowledge integration,3
Customer Segmentation,business case,A retail company wants to optimize their marketing spend. How would you segment their customer base and validate the segments?,1) RFM analysis 2) K-means clustering 3) Lifetime value calculation 4) Behavioral patterns 5) Segment validation 6) Action recommendations 7) ROI measurement,2
Missing Data Analysis,analytics,"In a customer dataset, 30% of income values are missing. How would you investigate the pattern and handle the missing data?",1) MCAR/MAR/MNAR analysis 2) Visualization of patterns 3) Domain-based imputation 4) Multiple imputation methods 5) Sensitivity analysis 6) Documentation of assumptions,2
Probability Simulation,probability,Design a simulation to estimate the probability of getting a full house in poker. Explain how you'd make it computationally efficient.,1) Combinations calculation 2) Efficient sampling 3) Vectorized operations 4) Memory optimization 5) Confidence interval calculation 6) Performance benchmarking,3
Database Indexing,database design,Design an indexing strategy for a social media platform's post table that receives 100k writes per minute.,1) Primary key design 2) Compound index strategy 3) Write/read trade-off 4) Partial indexing 5) Index maintenance 6) Performance monitoring,3
Product Funnel Analysis,product metrics,Conversion rates dropped 20% in the signup flow. How would you analyze the cause and quantify the impact?,1) Step-by-step funnel analysis 2) Cohort comparison 3) Device/platform segmentation 4) A/B test review 5) User journey mapping 6) Revenue impact calculation,2
Time Series Forecasting,ML,Build a model to forecast daily product demand with strong weekly seasonality and holiday effects.,1) Feature engineering for time 2) Multiple seasonality handling 3) Holiday incorporation 4) Model selection (SARIMA/Prophet) 5) Cross-validation strategy 6) Prediction intervals,3
Dynamic Programming,algorithms,"Implement a solution for the ""Maximum Subarray Sum with at most K elements"" problem. Analyze complexity.",1) State definition 2) Recurrence relation 3) Base cases 4) Space optimization 5) Time complexity O(nk) 6) Example walkthrough,3
Hypothesis Testing,stats,A new recommendation algorithm shows 15% improvement in CTR. Design a framework to validate if this improvement is statistically significant.,1) Hypothesis formulation 2) Test selection 3) Sample size calculation 4) Multiple testing correction 5) Effect size estimation 6) Confidence intervals,2
Data Pipeline Design,database design,Design a data pipeline that processes customer transactions in real-time and maintains historical aggregates.,1) Stream processing architecture 2) Aggregation strategy 3) Storage design 4) Error handling 5) Monitoring setup 6) Recovery mechanism,3
Pandas Optimization,pandas,Implement an efficient way to calculate rolling statistics for multiple groups in a large DataFrame.,1) groupby optimization 2) numba integration 3) chunking strategy 4) memory management 5) parallel processing 6) benchmark comparison,3
Marketing Mix Model,analytics,Design an attribution model to measure the effectiveness of different marketing channels considering seasonal effects.,1) Channel attribution 2) Time decay modeling 3) Control variables 4) Interaction effects 5) Model validation 6) ROI calculation,3
Network Analysis,algorithms,Implement an algorithm to find all bridges in an undirected graph. Explain the approach and complexity.,1) DFS implementation 2) Time stamps tracking 3) Bridge detection logic 4) O(V+E) complexity 5) Edge case handling 6) Optimization techniques,3
Experimental Design,a/b testing,Design an experiment to test the impact of a new pricing strategy with multiple tiers and regional variations.,1) Stratified sampling 2) Power analysis 3) Control group design 4) Regional factors 5) Interaction effects 6) Duration calculation 7) Success metrics,3
SQL Performance,sql,"Optimize a query that joins multiple tables and includes window functions, currently taking 5 minutes to execute.",1) Execution plan analysis 2) Index optimization 3) Table partitioning 4) Query rewriting 5) CTE optimization 6) Join order improvement,3
Product Analytics,product metrics,Design a dashboard to monitor the health of a subscription-based product. What metrics would you include?,1) Churn metrics 2) Revenue metrics 3) Engagement scores 4) Leading indicators 5) Cohort analysis 6) Customer health score,2
Probability Problem,probability,Calculate the expected number of distinct colors drawn when sampling k balls from an urn with n balls of m different colors.,1) Probability formula 2) Expected value calculation 3) Combination analysis 4) Edge cases 5) Numerical approximation 6) Code implementation,3
R Visualization,r,Create an interactive dashboard in R to visualize customer segmentation results with multiple linked views.,1) Shiny app structure 2) ggplot2 layers 3) Interactive elements 4) Linked brushing 5) Performance optimization 6) User interface design,2
ML System Design,ML,Design an ML system to detect fraudulent transactions in real-time with 99.9% uptime requirement.,1) Feature pipeline 2) Model selection 3) Serving infrastructure 4) Monitoring setup 5) Fallback strategy 6) Retraining pipeline 7) Alert system,3
Streaming Analytics,python,Design a real-time analytics system that processes streaming Twitter data to identify trending topics. Handle rate limiting and data spikes.,1) Rate limiter implementation 2) Sliding window counters 3) Memory-efficient storage 4) Trend detection algorithm 5) Load shedding strategy 6) Error handling,3
Database Sharding,sql,Design a sharding strategy for a social media platform's message table that handles 1M writes per second.,1) Sharding key selection 2) Consistent hashing 3) Cross-shard queries 4) Rebalancing strategy 5) Hot spot prevention 6) Backup strategy,3
Statistical Inference,stats,Analyze the results of an experiment where the treatment group shows 12% improvement but has 30% missing data.,1) Missing data analysis 2) Selection bias testing 3) Sensitivity analysis 4) Multiple imputation 5) Effect size calculation 6) Confidence intervals,3
Recommendation System,ML,Build a hybrid recommendation system for an e-commerce platform with 10M products and cold start problems.,1) Content-based filtering 2) Collaborative filtering 3) Cold start strategy 4) Model serving architecture 5) Feature engineering 6) A/B testing plan,3
Market Sizing,business case,"Estimate the market size for electric vehicles in 2030, considering technological trends and regulatory changes.",1) TAM calculation 2) Growth projections 3) Regulatory impact 4) Competition analysis 5) Adoption curves 6) Sensitivity analysis,2
