url,title,description,category,roles
https://www.interviewquery.com/learning-paths/statistics-and-ab-testing-interview,Statistics & AB Testing Interview,Statistics and A/B testing are the underlying parts of the data science knowledge base. Knowing how to run an A/B or multivariate test is table stakes.,learning-path,"Data Scientist, Data Analyst, Market Research Analyst, Business Analyst"
https://www.interviewquery.com/learning-paths/data-science-interview,Data Science Interview,"Data science helps businesses make smarter decisions by combining programming, statistics, modeling, and machine learning skills. Learn how to ace data science job interviews with a well-structured approach.",learning-path,"Data Scientist, Data Analyst, Machine Learning Engineer, Business Intelligence Analyst"
https://www.interviewquery.com/learning-paths/data-structures-and-algorithms-interview,Data Structures and Algorithms Interview,"In this course, we will be tackling the fundamental theory of data structures and algorithms.",learning-path,"Software Engineer, Data Scientist, Software Developer, Computer Programmer"
https://www.interviewquery.com/learning-paths/modeling-and-machine-learning-interview,Modeling & Machine Learning Interview,"Understanding of how to build, deploy, and test machine learning models and tackle business problems while applying modeling concepts.",learning-path,"Machine Learning Engineer, Data Scientist, AI Specialist, Machine Learning Researcher"
https://www.interviewquery.com/learning-paths/product-metrics-interview,Product Metrics Interview,Learn how to use product analytics to solve problems and empower business decisions.,learning-path,"Product Manager, Data Analyst, Business Intelligence Analyst, Product Analyst"
https://www.interviewquery.com/learning-paths/data-engineering-interview,Data Engineering Interview,"Data engineers develop the tools and frameworks needed for data teams to function: they build pipelines, manage ETL, and build scalable data infrastructures. Learn the skills evaluated in data engineering job interviews.",learning-path,"Data Engineer, ETL Developer, Data Architect, Data Pipeline Engineer"
https://www.interviewquery.com/learning-paths/data-analytics-interview,Data Analytics Interview,"Data Analytics is the applied use of data to drive desision making. This learning path will help you understand and analyze data to develop insights, make better decisions and ultimately improve the company you work for!",learning-path,"Data Analyst, Business Intelligence Analyst, Data Scientist, Data Engineer"
https://www.interviewquery.com/learning-paths/sql-interview,SQL Interview,"SQL tests your analytical sense, ability to pull data for building models, and interpretation of datasets and metrics.",learning-path,"SQL Developer, Data Analyst, Database Administrator, Business Intelligence Analyst"
https://www.interviewquery.com/learning-paths/probability-interview,Probability Interview,Probability theory underlies much of what we do as data scientists. Learn the basics and then move on to intermediate applications.,learning-path,"Data Scientist, Data Analyst, Machine Learning Engineer, Statistician"
https://www.interviewquery.com/learning-paths/python-interview,Python Interview,"Other than SQL, Python is the most common language used in data science, due to its easy-to-read syntax and its robust collection of packages created specifically for data scientists.",learning-path,"Data Scientist, Data Analyst, Machine Learning Engineer, Python Developer"
https://www.interviewquery.com/p/multiple-case-when-sql,Multiple Case When SQL,,blog,"Data Analyst, Data Scientist, Data Engineer"
https://www.interviewquery.com/p/sql-cumulative-sum-guide,SQL Cumulative Sum Guide,,blog,"Data Analyst, Data Scientist, Data Engineer"
https://www.interviewquery.com/p/sql-scenario-based-interview-questions,SQL Scenario Based Interview Questions,,blog,"Data Scientist, Data Analyst, Data Engineer"
https://www.interviewquery.com/p/sql-count-case-when,SQL COUNT CASE WHEN,,blog,"data analyst, data scientist, data engineer"
https://www.interviewquery.com/p/data-engineer-python-questions,Data Engineer Python Questions,,blog,Data Engineer
https://www.interviewquery.com/p/sql-questions-data-analyst,SQL Questions for Data Analyst,,blog,Data Analyst
https://www.interviewquery.com/p/python-data-science-interview-questions,Python Data Science Interview Questions,,blog,data scientist
https://www.interviewquery.com/p/free-datasets,Free Datasets,,blog,data scientist
https://www.interviewquery.com/p/python-projects-for-resume,Python Projects for Resume,,blog,data scientist
https://www.interviewquery.com/p/sql-join-on-multiple-columns,SQL Join on Multiple Columns,,blog,"Data Analyst, Data Scientist, Data Engineer"
https://www.interviewquery.com/p/data-science-case-study-interview-questions,Data Science Case Study Interview Questions,,blog,data scientist
https://www.interviewquery.com/p/sum-case-when-sql,SUM CASE WHEN SQL,,blog,"Data Analyst, Data Scientist, Data Engineer"
